step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
27,4,8,R1->R1,0.8345918094410616,0.8362177680520451,0.001625958610983469,0.0019482082050055072
27,4,8,R1->S,0.09811925888061523,0.09796289135428037,0.00015636752633486906,0.0015936476500003562
27,4,8,R1->X,0.10845898880678065,0.10731932696174173,0.001139661845038914,0.010507767567971872
27,4,8,S->P,0.013834045213811538,0.013834045213811538,0.0,0.0
27,4,8,S->R1,0.055585195036495436,0.055585195036495436,0.0,0.0
27,4,8,S->S,0.9016954758588005,0.9016954758588005,0.0,0.0
27,4,8,S->X,0.10239887237548828,0.10239887237548828,0.0,0.0
27,4,8,X->P,0.021032102406024933,0.021032102406024933,0.0,0.0
27,4,8,X->R1,0.047160804271698,0.047160804271698,0.0,0.0
27,4,8,X->S,0.05547071248292923,0.05547071248292923,0.0,0.0
27,4,8,X->X,0.9119933247566223,0.9119933247566223,0.0,0.0
27,4,12,P->P,0.7943490743637085,0.7943490743637085,0.0,0.0
27,4,12,P->R1,0.03259754925966263,0.03259754925966263,0.0,0.0
27,4,12,P->S,0.03133699297904968,0.03133699297904968,0.0,0.0
27,4,12,P->X,0.15050163865089417,0.15050163865089417,0.0,0.0
27,4,12,R1->P,0.00031980488668469824,0.0003187148557866321,1.0900308980661471e-06,0.003408424772260686
27,4,12,R1->R1,0.8903362610760857,0.8909581128288718,0.0006218517527861733,0.0006984459467421732
27,4,12,R1->S,0.09385923778309542,0.09303294209872975,0.000826295684365666,0.008803562695397112
27,4,12,R1->X,0.07845002763411578,0.07787338425131406,0.0005766433828017226,0.00735045480788277
27,4,12,S->P,0.002881283707478467,0.002881283707478467,0.0,0.0
27,4,12,S->R1,0.10015194556292366,0.10015194556292366,0.0,0.0
27,4,12,S->S,0.8940602470846737,0.8940602470846737,0.0,0.0
27,4,12,S->X,0.10855712610132554,0.10855712610132554,0.0,0.0
27,4,12,X->P,0.09043383598327637,0.09043383598327637,0.0,0.0
27,4,12,X->R1,0.07847459614276886,0.07847459614276886,0.0,0.0
27,4,12,X->S,0.08315051347017288,0.08315051347017288,0.0,0.0
27,4,12,X->X,0.7978720664978027,0.7978720664978027,0.0,0.0
27,4,16,P->P,0.9053045511245728,0.9053045511245728,0.0,0.0
27,4,16,P->R1,0.017792517319321632,0.017792517319321632,0.0,0.0
27,4,16,P->S,0.019415806978940964,0.019415806978940964,0.0,0.0
27,4,16,P->X,0.06131264567375183,0.06131264567375183,0.0,0.0
27,4,16,R1->P,0.0028499445932752944,0.0031611546874046326,0.00031121009412933814,0.1091986471820073
27,4,16,R1->R1,0.8167788561652688,0.8157373316147748,0.0010415245504939996,0.0012751610091670336
27,4,16,R1->S,0.07939535028794233,0.07977861516615924,0.00038326487821691013,0.004827296268949343
27,4,16,R1->X,0.1595026605269488,0.16023551716524012,0.0007328566382913126,0.004594635825322128
27,4,16,S->P,0.005945104886503781,0.005945104886503781,0.0,0.0
27,4,16,S->R1,0.09300977342269,0.09300977342269,0.0,0.0
27,4,16,S->S,0.904263272004969,0.904263272004969,0.0,0.0
27,4,16,S->X,0.09936877559213077,0.09936877559213077,0.0,0.0
27,4,16,X->P,0.05113975703716278,0.05113975703716278,0.0,0.0
27,4,16,X->R1,0.03506883978843689,0.03506883978843689,0.0,0.0
27,4,16,X->S,0.08616674691438675,0.08616674691438675,0.0,0.0
27,4,16,X->X,0.8874226212501526,0.8874226212501526,0.0,0.0
27,4,20,P->P,0.9161092042922974,0.9161092042922974,0.0,0.0
